name;description;app layer;features;documentation
http.uri;sticky buffer to match specifically and only on the normalized HTTP URI buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-uri-and-http-raw-uri;
http.uri.raw;sticky buffer to match specifically and only on the raw HTTP URI buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-uri-and-http-raw-uri;
http_raw_uri;content modifier to match on the raw HTTP uri;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http_uri-and-http_raw-uri;
http_stat_msg;content modifier to match on HTTP stat-msg-buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-stat-msg;
http.stat_msg;sticky buffer to match on the HTTP response status message;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-stat-msg;
http_stat_code;content modifier to match only on HTTP stat-code-buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-stat-code;
http.stat_code;sticky buffer to match only on HTTP stat-code-buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-stat-code;
http_user_agent;content modifier to match only on the HTTP User-Agent header;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-user-agent;
http.user_agent;sticky buffer to match specifically and only on the HTTP User Agent buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-user-agent;
http_host;content modifier to match on the HTTP hostname;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-host-and-http-raw-host;
http.host;sticky buffer to match on the HTTP Host buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-host-and-http-raw-host;
http_raw_host;content modifier to match on the HTTP host header or the raw hostname from the HTTP uri;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-host-and-http-raw-host;
http.host.raw;sticky buffer to match on the HTTP host header or the raw hostname from the HTTP uri;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-host-and-http-raw-host;
http.request_line;sticky buffer to match on the HTTP request line;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-request-line;
http.response_line;content modifier to match only on the HTTP response line;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-response-line;
nfs_procedure;match NFS procedure;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/nfs-keywords.html#procedure;
nfs.version;match NFS version;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/nfs-keywords.html#version;
ssh.proto;ssh.proto sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#ssh-proto;
ssh.protoversion;match SSH protocol version;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#ssh-protoversion;
ssh.software;ssh_software sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#ssh-software;
ssh.softwareversion;match SSH software string;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#ssh-softwareversion;
ssh.hassh;ssh.hassh sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#hassh;
ssh.hassh.server;ssh.hassh.server sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#ssh.hassh.server;
ssh.hassh.string;ssh.hassh.string sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#hassh.string;
ssh.hassh.server.string;ssh.hassh.server.string sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ssh-keywords.html#ssh.hassh.server.string;
ssl_version;match version of SSL/TLS record;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#ssl-version;
ssl_state;match the state of the SSL connection;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#ssl-state;
byte_extract;extract <num of bytes> at a particular <offset> and store it in <var_name>;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/payload-keywords.html#byte-extract;
file.data;make content keywords match on file data;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#file-data;
pkt_data;;Unset;No option;;
app-layer-event;match on events generated by the App Layer Parsers and the protocol detection engine;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/app-layer.html#app-layer-event;
http2.frametype;match on HTTP2 frame type field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#frametype;
http2.errorcode;match on HTTP2 error code field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#errorcode;
http2.priority;match on HTTP2 priority weight field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#priority;
http2.window;match on HTTP2 window update size increment field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#window;
http2.size_update;match on HTTP2 dynamic headers table size update;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#sizeupdate;
http2.settings;match on HTTP2 settings identifier and value fields;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#settings;
http2.header_name;sticky buffer to match on one HTTP2 header name;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#header_name;
http2.header;sticky buffer to match on one HTTP2 header name and value;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http2-keywords.html#header;
dcerpc.iface;;Unset;none;;
dcerpc.opnum;;Unset;none;;
dcerpc.stub_data;;Unset;No option:sticky buffer;;
smb.named_pipe;sticky buffer to match on SMB named pipe in tree connect;Unset;No option:sticky buffer;;
smb.share;sticky buffer to match on SMB share name in tree connect;Unset;No option:sticky buffer;;
asn1;;Unset;none;;
engine-event;;Unset;none;;
stream-event;;Unset;none;;
config;;Unset;none;;
filename;match on the file name;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filename;
file.name;sticky buffer to match on the file name;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filename;
fileext;match on the extension of a file name;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#fileext;
filestore;stores files to disk if the rule matched;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filestore;
filemagic;match on the information libmagic returns about a file;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filemagic;
file.magic;sticky buffer to match on the file magic;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filemagic;
filemd5;match file MD5 against list of MD5 checksums;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filemd5;
filesha1;match file SHA-1 against list of SHA-1 checksums;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filesha1;
filesha256;match file SHA-256 against list of SHA-256 checksums;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filesha256;
filesize;match on the size of the file as it is being transferred;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/file-keywords.html#filesize;
l3_proto;;Unset;none;;
lua;match via a lua script;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/rule-lua-scripting.html;
iprep;match on the IP reputation information for a host;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ip-reputation-rules.html#iprep;
dns.query;sticky buffer to match DNS query-buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dns-keywords.html#dns-query;
dns.opcode;Match the DNS header opcode flag.;Unset;none;;
tls.sni;content modifier to match specifically and only on the TLS SNI buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-sni;
tls.certs;content modifier to match the TLS certificate sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-certs;
tls.cert_issuer;content modifier to match specifically and only on the TLS cert issuer buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-issuer;
tls.cert_subject;content modifier to match specifically and only on the TLS cert subject buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-subject;
tls.cert_serial;content modifier to match the TLS cert serial buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-serial;
